age,income,credit_score,loan_amount,loan_purpose,employment_years,debt_ratio,num_credit_lines,marital_status,education,loan_approved
54,71245,782,50221,Personal,35,0.47,14,Single,High School,Approved
41,60514,744,92189,Business,22,0.26,11,Married,High School,Approved
46,68309,800,110812,Education,24,0.26,13,Married,High School,Approved
66,105722,751,97326,Auto,40,0.26,1,Divorced,Bachelor,Approved
63,93303,670,144972,Home,40,0.67,3,Married,High School,Rejected
70,129735,751,18891,Business,40,0.57,13,Married,PhD,Rejected
48,87176,681,113640,Personal,26,0.46,1,Single,Bachelor,Rejected
52,76201,738,77083,Personal,30,0.29,5,Single,High School,Rejected
50,89782,787,42964,Business,29,0.31,5,Single,Bachelor,Rejected
69,120323,773,49739,Auto,40,0.4,9,Married,Master,Approved
38,93760,670,121871,Auto,18,0.68,13,Single,Bachelor,Rejected
49,87601,737,90799,Personal,31,0.39,8,Single,High School,Rejected
40,91453,764,44459,Business,19,0.43,5,Married,Master,Approved
50,81997,831,12045,Business,30,0.05,5,Married,Bachelor,Approved
20,27076,743,48255,Home,0,0.39,7,Single,High School,Rejected
35,67157,764,56965,Personal,14,0.14,12,Single,High School,Approved
42,69370,749,6237,Auto,20,0.28,2,Married,Bachelor,Approved
59,88342,817,135811,Education,40,0.36,13,Married,High School,Rejected
48,98285,754,57195,Auto,27,0.3,7,Married,Master,Approved
71,93678,771,122775,Auto,40,0.25,1,Single,High School,Approved
20,55633,839,41326,Education,0,0.26,14,Married,Master,Rejected
57,100768,788,141365,Personal,36,0.32,5,Divorced,Bachelor,Rejected
63,85856,824,30274,Home,40,0.31,12,Single,High School,Approved
41,74645,642,98920,Auto,21,0.35,12,Divorced,High School,Rejected
67,98137,850,101529,Auto,40,0.34,6,Single,Bachelor,Rejected
49,95276,843,83847,Personal,27,0.54,13,Single,Bachelor,Approved
64,99148,850,61718,Personal,40,0.05,11,Married,Bachelor,Approved
39,46962,811,73718,Business,17,0.39,14,Single,High School,Rejected
40,54492,731,54615,Personal,21,0.36,10,Single,High School,Rejected
19,20000,742,123548,Personal,0,0.33,1,Married,High School,Rejected
44,86885,817,76296,Auto,25,0.24,9,Married,Bachelor,Approved
59,73860,755,77796,Home,37,0.33,9,Divorced,High School,Rejected
19,42920,790,137987,Auto,1,0.1,1,Married,Bachelor,Approved
43,90116,700,79651,Personal,25,0.38,4,Single,Bachelor,Approved
34,91293,708,12076,Business,16,0.41,8,Married,Master,Approved
57,74183,850,85350,Home,39,0.24,2,Married,High School,Approved
50,81105,594,58918,Business,32,0.64,13,Married,High School,Rejected
26,68404,787,140865,Education,8,0.33,13,Married,Bachelor,Rejected
60,98631,704,55528,Business,40,0.36,11,Divorced,Bachelor,Approved
71,95135,744,122503,Business,40,0.55,13,Married,High School,Rejected
65,108567,703,71798,Personal,40,0.67,8,Married,Master,Rejected
56,120856,850,14319,Personal,38,0.18,10,Single,Master,Approved
46,71812,780,149266,Personal,27,0.26,13,Divorced,High School,Approved
59,96611,735,31998,Personal,40,0.33,12,Single,High School,Approved
72,110991,845,8468,Personal,40,0.24,14,Single,Bachelor,Approved
43,64465,830,117178,Business,22,0.48,13,Single,Bachelor,Rejected
52,76365,810,148723,Education,30,0.22,9,Married,High School,Approved
67,119529,694,9409,Personal,40,0.54,9,Married,Bachelor,Approved
42,56146,706,71083,Education,22,0.44,14,Married,Bachelor,Rejected
41,72669,711,90443,Education,22,0.52,1,Divorced,High School,Rejected
30,76017,764,28426,Auto,10,0.22,9,Divorced,Bachelor,Approved
24,54153,727,113025,Auto,6,0.29,4,Single,Master,Rejected
74,83293,831,59757,Home,40,0.48,12,Single,High School,Approved
53,83177,768,21490,Auto,32,0.46,12,Married,High School,Approved
62,96138,794,57136,Personal,40,0.31,8,Divorced,Bachelor,Approved
37,99145,751,27236,Education,17,0.33,13,Married,Master,Approved
18,85588,750,149336,Home,0,0.28,14,Married,PhD,Rejected
25,37150,768,72147,Auto,4,0.32,9,Single,Bachelor,Rejected
63,97569,850,12928,Business,40,0.21,3,Married,Bachelor,Approved
33,69198,774,61369,Home,11,0.18,6,Married,Bachelor,Approved
31,65806,646,71403,Personal,9,0.5,3,Married,Bachelor,Rejected
29,68684,719,102225,Education,11,0.32,1,Single,High School,Rejected
68,81201,701,50213,Personal,40,0.52,10,Divorced,High School,Approved
40,77592,651,103631,Personal,22,0.44,6,Married,High School,Rejected
32,50860,799,8816,Business,10,0.4,5,Single,Bachelor,Approved
45,72503,837,103162,Business,25,0.24,3,Married,High School,Approved
51,115423,711,52838,Education,31,0.17,14,Married,Master,Approved
19,20000,754,147645,Auto,1,0.28,14,Married,High School,Rejected
49,79612,680,70364,Personal,27,0.58,4,Married,High School,Rejected
40,87345,690,149229,Auto,19,0.48,2,Married,Bachelor,Rejected
39,81458,653,14322,Education,17,0.27,12,Divorced,Bachelor,Approved
68,110533,815,124024,Personal,40,0.28,10,Single,High School,Approved
42,71151,803,7482,Auto,21,0.21,10,Single,High School,Approved
39,98127,764,40867,Personal,19,0.12,13,Single,PhD,Approved
39,69390,830,84211,Business,18,0.37,14,Married,High School,Rejected
66,84060,755,100956,Business,40,0.61,4,Married,High School,Rejected
69,120824,666,113052,Home,40,0.61,4,Divorced,Master,Rejected
59,95317,807,84386,Education,38,0.44,3,Married,High School,Approved
23,53980,733,11732,Auto,3,0.26,6,Married,Bachelor,Approved
32,61511,850,39422,Personal,12,0.13,1,Divorced,High School,Approved
71,114886,682,81964,Home,40,0.51,9,Single,High School,Approved
60,75626,773,61284,Education,38,0.42,11,Married,High School,Approved
54,74716,729,133575,Education,32,0.3,10,Married,High School,Rejected
50,79663,749,16311,Education,31,0.28,3,Married,High School,Approved
25,31368,608,134507,Auto,4,0.44,3,Married,High School,Rejected
70,104242,775,81000,Business,40,0.23,12,Married,Bachelor,Approved
61,97758,713,133259,Home,40,0.39,3,Single,High School,Rejected
61,111429,773,50311,Auto,40,0.17,7,Married,Bachelor,Approved
22,66973,637,15300,Personal,3,0.68,8,Married,Master,Rejected
56,101977,721,70375,Auto,37,0.25,2,Married,Bachelor,Approved
21,29261,712,39563,Personal,1,0.45,1,Married,High School,Rejected
23,81545,833,126227,Personal,5,0.17,5,Divorced,Master,Approved
62,106633,750,84244,Education,40,0.33,8,Married,High School,Approved
49,82188,724,133161,Auto,28,0.48,14,Married,High School,Rejected
69,93506,732,130307,Business,40,0.52,3,Married,Bachelor,Rejected
47,85877,710,119687,Personal,29,0.46,6,Married,Bachelor,Rejected
64,106996,669,21328,Education,40,0.33,3,Divorced,Bachelor,Approved
52,70093,746,142286,Business,33,0.25,6,Married,High School,Rejected
72,105790,850,40377,Auto,40,0.19,12,Married,Bachelor,Approved
57,87222,729,95257,Business,38,0.58,4,Single,High School,Rejected
69,130841,781,23610,Auto,40,0.37,14,Married,Master,Approved
33,43017,630,60082,Personal,12,0.39,11,Single,High School,Rejected
30,85133,717,28226,Home,9,0.52,7,Married,Master,Approved
67,95426,723,32677,Home,40,0.44,11,Single,Bachelor,Approved
59,111821,727,146370,Personal,40,0.33,10,Single,Master,Rejected
47,78706,675,40848,Business,25,0.46,1,Single,Bachelor,Approved
36,66478,802,104291,Auto,14,0.26,1,Single,Bachelor,Approved
34,25334,812,129227,Home,13,0.12,5,Single,High School,Approved
73,94592,784,68654,Auto,40,0.56,9,Divorced,High School,Rejected
36,71093,829,22744,Personal,16,0.27,5,Married,High School,Approved
45,105512,739,110850,Business,26,0.3,4,Married,Master,Rejected
72,117893,810,53001,Auto,40,0.32,8,Married,Master,Approved
43,70154,771,64633,Business,24,0.26,13,Single,Bachelor,Approved
54,65869,658,53917,Home,36,0.52,5,Divorced,High School,Approved
43,51069,681,84804,Auto,25,0.41,1,Single,High School,Rejected
70,103691,805,5907,Education,40,0.3,7,Single,Bachelor,Approved
40,94569,809,96295,Home,19,0.16,11,Married,Bachelor,Approved
26,28329,717,149836,Business,7,0.4,4,Single,Bachelor,Rejected
29,98502,825,144462,Personal,11,0.05,10,Married,PhD,Approved
70,83222,748,35172,Education,40,0.38,5,Single,High School,Approved
18,41645,767,128936,Auto,0,0.55,13,Married,Bachelor,Rejected
18,35623,730,108512,Home,0,0.36,6,Married,Bachelor,Rejected
64,76325,707,53196,Auto,40,0.53,13,Single,High School,Approved
51,76256,846,73901,Auto,30,0.17,7,Married,High School,Approved
49,76128,634,142023,Education,29,0.66,11,Single,High School,Rejected
71,126683,753,20175,Education,40,0.51,2,Married,Master,Approved
65,88147,791,147099,Education,40,0.42,14,Single,Bachelor,Rejected
42,86739,812,112809,Education,22,0.26,1,Married,Bachelor,Approved
57,125918,752,80630,Personal,38,0.24,12,Married,Master,Approved
62,109244,850,93617,Business,40,0.34,3,Single,Bachelor,Approved
70,85790,804,148239,Education,40,0.53,10,Divorced,High School,Rejected
18,48084,850,132310,Home,0,0.15,12,Divorced,Bachelor,Approved
33,64395,731,71556,Auto,14,0.35,1,Married,Bachelor,Approved
56,105685,758,107148,Education,34,0.46,4,Married,Bachelor,Rejected
22,41334,688,15485,Home,0,0.49,6,Single,Bachelor,Approved
39,71580,693,108746,Personal,17,0.46,5,Married,Bachelor,Rejected
46,50116,850,111255,Home,25,0.14,13,Single,High School,Rejected
72,123052,707,13802,Home,40,0.52,11,Single,Master,Approved
20,22504,756,38314,Personal,0,0.36,4,Divorced,High School,Rejected
29,51624,762,24565,Personal,11,0.19,7,Married,High School,Approved
43,70884,780,98153,Auto,22,0.35,13,Married,High School,Rejected
33,40400,850,96145,Education,11,0.06,11,Single,High School,Approved
68,90311,764,49233,Home,40,0.44,11,Married,High School,Approved
54,114244,820,53384,Business,35,0.33,6,Single,Master,Approved
39,93680,785,83253,Business,20,0.16,3,Single,Master,Approved
74,97898,759,42669,Auto,40,0.31,9,Single,High School,Approved
46,72590,850,147914,Business,24,0.24,5,Married,High School,Approved
31,41201,807,69099,Auto,10,0.25,13,Married,High School,Approved
45,83483,845,109012,Education,25,0.05,10,Single,High School,Approved
22,42019,838,138154,Auto,3,0.1,1,Married,High School,Approved
64,134051,750,129878,Personal,40,0.32,13,Single,Master,Rejected
66,93467,834,14795,Personal,40,0.29,6,Married,High School,Approved
47,86558,732,50309,Personal,25,0.5,5,Divorced,Bachelor,Approved
63,88828,850,25180,Personal,40,0.26,10,Married,High School,Approved
69,115562,850,51335,Personal,40,0.27,8,Divorced,Master,Approved
22,54753,822,97887,Personal,0,0.28,4,Divorced,Bachelor,Approved
29,79145,677,127352,Personal,11,0.32,12,Married,Master,Rejected
33,63184,640,107267,Personal,13,0.36,1,Married,Bachelor,Approved
43,54273,790,82402,Personal,23,0.29,11,Divorced,High School,Approved
43,77051,742,115551,Education,21,0.44,2,Single,High School,Rejected
65,106126,632,106010,Personal,40,0.7,8,Single,Bachelor,Rejected
38,47732,741,85808,Auto,20,0.23,10,Divorced,High School,Rejected
56,96814,722,125823,Education,34,0.41,8,Married,Bachelor,Rejected
53,78990,839,125469,Business,34,0.35,13,Single,High School,Rejected
50,74080,699,76922,Home,31,0.51,14,Married,High School,Rejected
47,94262,681,75874,Education,29,0.38,5,Married,Bachelor,Approved
54,92504,805,122253,Personal,33,0.24,6,Married,Bachelor,Approved
40,68945,807,65361,Education,18,0.18,2,Married,Bachelor,Approved
27,54124,656,78836,Home,7,0.44,11,Married,High School,Rejected
71,87604,850,29641,Home,40,0.19,12,Married,Bachelor,Approved
22,30986,731,74833,Personal,1,0.53,9,Married,High School,Rejected
53,88788,731,125899,Personal,33,0.43,6,Married,High School,Rejected
51,99269,692,118398,Auto,32,0.36,12,Married,Bachelor,Rejected
69,100200,843,51129,Home,40,0.15,9,Married,High School,Approved
48,92215,751,38808,Personal,28,0.45,11,Single,High School,Approved
27,60489,554,83346,Home,9,0.59,10,Married,High School,Rejected
36,43944,792,78524,Auto,17,0.29,3,Divorced,High School,Approved
49,54392,783,61625,Business,27,0.24,6,Single,High School,Approved
18,33268,728,45327,Home,0,0.34,10,Single,High School,Rejected
73,76458,769,26483,Auto,40,0.42,5,Married,High School,Approved
22,20000,714,136575,Auto,3,0.27,9,Married,High School,Rejected
62,108162,741,75880,Auto,40,0.48,13,Single,Bachelor,Approved
21,35670,615,13947,Education,0,0.64,10,Single,High School,Rejected
33,69611,711,145605,Personal,15,0.4,1,Single,High School,Rejected
41,67684,727,45916,Home,20,0.3,9,Married,High School,Approved
33,82195,751,130468,Education,12,0.42,5,Single,Bachelor,Rejected
72,123555,811,12012,Home,40,0.53,1,Single,Master,Approved
19,33637,672,20213,Education,0,0.37,10,Married,Bachelor,Rejected
66,113221,766,100660,Personal,40,0.42,8,Divorced,Bachelor,Approved
45,94343,676,65188,Auto,24,0.46,7,Married,Bachelor,Approved
49,95410,827,51576,Home,31,0.22,14,Single,Bachelor,Approved
44,98505,751,15711,Auto,26,0.42,6,Married,Bachelor,Approved
37,55767,781,14515,Personal,18,0.15,2,Divorced,High School,Approved
41,63958,781,138496,Home,19,0.25,5,Married,High School,Approved
29,44756,730,49344,Business,11,0.52,3,Divorced,High School,Rejected
67,143790,675,64595,Business,40,0.48,2,Married,Master,Rejected
52,101412,720,14200,Business,32,0.31,14,Single,Bachelor,Approved
50,78832,722,139288,Personal,30,0.61,10,Married,Bachelor,Rejected
50,93525,831,5016,Business,30,0.15,1,Single,High School,Approved
68,97668,802,107974,Home,40,0.32,9,Married,Bachelor,Rejected
60,90136,819,105927,Business,40,0.39,2,Single,High School,Rejected
54,84183,850,83886,Home,33,0.05,13,Single,High School,Approved
29,75999,831,119817,Personal,7,0.33,11,Divorced,Master,Rejected
20,49837,820,137545,Auto,0,0.18,1,Single,Bachelor,Approved
18,20000,797,30525,Education,0,0.18,14,Divorced,High School,Rejected
50,111370,779,47028,Business,31,0.31,7,Single,Master,Approved
57,96506,850,57047,Education,37,0.08,9,Single,High School,Approved
27,97718,771,35110,Auto,8,0.23,6,Divorced,PhD,Approved
60,73981,850,106040,Personal,38,0.08,8,Married,High School,Approved
61,81943,720,124786,Personal,39,0.37,11,Married,High School,Rejected
46,55554,772,97424,Auto,24,0.37,7,Single,High School,Rejected
30,49898,743,138018,Education,11,0.3,9,Married,High School,Rejected
29,26483,711,20740,Business,8,0.5,7,Married,High School,Approved
48,74272,751,119988,Home,27,0.31,13,Married,Bachelor,Rejected
63,113348,757,79712,Personal,40,0.35,6,Married,Master,Approved
19,27032,775,100402,Auto,0,0.21,1,Divorced,Bachelor,Approved
68,89722,850,42269,Education,40,0.05,9,Married,High School,Approved
67,83935,771,43682,Business,40,0.33,10,Divorced,Bachelor,Approved
52,81353,850,125359,Education,31,0.31,5,Married,High School,Rejected
40,53029,743,37850,Business,18,0.61,13,Married,High School,Rejected
34,59760,636,46132,Home,14,0.45,2,Single,Bachelor,Approved
43,71892,739,141876,Home,21,0.29,14,Single,Bachelor,Rejected
25,38396,731,90061,Auto,6,0.37,12,Divorced,High School,Rejected
46,73428,741,57034,Auto,25,0.49,11,Single,High School,Approved
43,121170,842,50061,Business,22,0.43,8,Single,PhD,Approved
27,52139,667,83348,Business,8,0.6,13,Single,High School,Rejected
43,103316,789,119892,Business,24,0.23,4,Single,Bachelor,Approved
51,98252,670,50952,Business,31,0.5,14,Divorced,Bachelor,Approved
68,91403,736,100996,Home,40,0.29,3,Divorced,High School,Rejected
58,80929,766,130982,Auto,37,0.38,13,Married,High School,Rejected
24,31762,850,64379,Auto,4,0.27,1,Single,High School,Approved
21,54890,722,111120,Personal,3,0.33,5,Married,Bachelor,Rejected
70,95005,751,132852,Auto,40,0.38,3,Married,Bachelor,Rejected
67,107289,791,103111,Auto,40,0.44,4,Divorced,Bachelor,Approved
62,134811,684,41516,Education,40,0.36,9,Married,PhD,Approved
28,51219,830,76114,Education,9,0.05,11,Single,Bachelor,Approved
46,70488,808,127078,Personal,24,0.34,14,Married,Bachelor,Rejected
73,130247,690,134657,Business,40,0.57,7,Divorced,Bachelor,Rejected
53,80534,846,66240,Personal,33,0.34,11,Married,Bachelor,Approved
42,74322,723,46798,Personal,20,0.57,5,Married,Bachelor,Rejected
38,82725,826,123371,Home,17,0.33,8,Single,Bachelor,Rejected
74,110290,807,71473,Auto,40,0.11,6,Married,Bachelor,Approved
53,77764,784,130811,Home,35,0.29,10,Married,High School,Approved
27,45078,806,136496,Auto,8,0.27,2,Single,Bachelor,Approved
54,80797,711,114806,Personal,33,0.32,7,Married,High School,Rejected
26,20000,834,139123,Auto,8,0.17,1,Single,High School,Rejected
41,63198,747,106209,Business,21,0.35,3,Single,High School,Rejected
52,91848,834,101878,Business,31,0.3,12,Single,Bachelor,Rejected
66,115701,746,82774,Personal,40,0.54,1,Single,Bachelor,Approved
52,66566,850,32786,Education,32,0.17,14,Married,High School,Approved
65,101765,716,100204,Business,40,0.39,1,Single,Bachelor,Approved
53,97369,772,137339,Personal,32,0.41,5,Single,Bachelor,Rejected
35,51555,637,24650,Home,13,0.47,6,Divorced,High School,Approved
66,91573,831,12017,Education,40,0.3,12,Married,Bachelor,Approved
56,95524,785,145921,Business,38,0.38,3,Married,Bachelor,Rejected
49,100999,738,67453,Personal,28,0.4,14,Married,Bachelor,Approved
41,77593,791,72762,Personal,20,0.1,3,Married,Bachelor,Approved
40,58358,753,140460,Home,20,0.3,3,Single,Bachelor,Rejected
49,80832,774,72958,Home,28,0.35,1,Married,High School,Approved
54,65007,786,82568,Education,34,0.36,5,Single,High School,Rejected
29,43429,831,77852,Business,11,0.36,1,Married,High School,Rejected
66,140632,817,138915,Personal,40,0.42,10,Single,PhD,Approved
72,102137,686,33015,Education,40,0.64,10,Married,High School,Rejected
30,24620,795,51546,Education,12,0.26,3,Married,High School,Approved
40,95615,781,56055,Home,19,0.41,13,Married,Master,Approved
42,98617,666,107528,Personal,20,0.55,6,Single,Master,Rejected
52,88929,850,108283,Auto,33,0.08,11,Married,Bachelor,Approved
58,89409,695,54577,Home,39,0.39,6,Divorced,High School,Approved
47,39980,806,34415,Personal,27,0.1,3,Married,High School,Approved
34,20520,576,20963,Education,12,0.68,9,Single,High School,Rejected
66,101085,759,67415,Education,40,0.43,8,Single,High School,Approved
37,53111,709,61400,Business,19,0.41,11,Divorced,High School,Rejected
65,101537,850,119731,Auto,40,0.07,3,Married,Bachelor,Approved
42,98346,821,60450,Home,24,0.27,5,Married,Master,Rejected
39,54840,780,91962,Business,19,0.28,5,Divorced,High School,Approved
30,52413,700,123639,Business,8,0.61,14,Divorced,Bachelor,Rejected
36,72944,797,33842,Auto,16,0.46,5,Married,Bachelor,Approved
66,75044,850,21531,Home,40,0.1,3,Married,High School,Approved
53,106099,746,138242,Home,33,0.42,5,Single,Bachelor,Rejected
29,42697,832,126843,Education,10,0.12,5,Married,High School,Approved
58,76943,847,143369,Home,38,0.11,4,Single,High School,Approved
36,59097,779,9163,Business,17,0.42,4,Single,Bachelor,Approved
29,43926,745,45794,Education,9,0.46,2,Single,High School,Rejected
26,77936,680,46787,Home,4,0.42,9,Single,PhD,Approved
24,20000,620,113248,Auto,2,0.63,7,Married,High School,Rejected
45,73481,815,62219,Business,23,0.41,1,Married,Bachelor,Approved
31,51908,706,106243,Personal,10,0.38,5,Married,Bachelor,Rejected
48,87618,816,115224,Auto,30,0.17,2,Single,High School,Approved
69,91304,793,29448,Auto,40,0.48,10,Divorced,High School,Approved
36,86193,815,61437,Home,17,0.1,6,Single,Bachelor,Approved
64,112900,776,33299,Education,40,0.65,7,Married,Master,Rejected
33,75088,756,82093,Education,12,0.48,12,Divorced,Master,Rejected
70,108865,630,130113,Business,40,0.77,2,Married,Bachelor,Rejected
22,52541,681,104317,Home,1,0.41,11,Married,Bachelor,Rejected
52,101709,760,143463,Education,33,0.49,6,Divorced,Bachelor,Rejected
29,49621,748,79891,Personal,9,0.31,13,Single,Bachelor,Rejected
42,72403,662,45286,Home,24,0.34,3,Married,Bachelor,Approved
69,101445,797,96353,Home,40,0.19,9,Married,Bachelor,Approved
38,100309,828,116027,Education,17,0.13,4,Single,Master,Approved
53,72493,810,42595,Auto,35,0.38,3,Married,High School,Approved
70,114730,847,133840,Home,40,0.34,13,Divorced,Master,Rejected
40,80798,850,67740,Auto,19,0.19,11,Married,Bachelor,Approved
33,54763,750,55929,Business,12,0.22,3,Single,High School,Rejected
74,95554,772,37827,Business,40,0.35,2,Single,High School,Approved
56,83308,826,31209,Education,35,0.19,12,Married,High School,Approved
62,94348,688,102654,Business,40,0.4,9,Single,Bachelor,Rejected
70,113092,847,113947,Education,40,0.19,8,Married,Master,Approved
59,96764,762,78396,Education,37,0.39,5,Married,High School,Approved
56,120236,850,149878,Auto,35,0.18,14,Married,Master,Approved
31,64650,841,118254,Auto,12,0.18,14,Married,Master,Rejected
48,79194,850,85000,Business,27,0.05,13,Married,High School,Approved
22,76087,735,43865,Auto,2,0.33,9,Single,Master,Approved
52,122038,725,142530,Home,31,0.57,13,Single,PhD,Rejected
40,80762,652,14151,Personal,21,0.56,2,Married,Bachelor,Rejected
46,95614,745,135759,Home,27,0.4,6,Married,Bachelor,Rejected
60,128042,850,77024,Home,40,0.05,7,Married,PhD,Approved
28,77295,695,129001,Education,6,0.48,6,Married,Bachelor,Rejected
35,63230,728,48183,Personal,14,0.38,3,Divorced,High School,Approved
64,125240,778,67323,Education,40,0.29,10,Single,Master,Rejected
29,55154,632,128978,Auto,7,0.53,14,Single,Bachelor,Rejected
26,57447,696,95254,Auto,5,0.44,10,Single,Bachelor,Rejected
27,24897,676,147242,Personal,7,0.64,10,Married,High School,Rejected
61,125820,762,52284,Business,40,0.14,9,Married,Bachelor,Approved
34,63788,780,145332,Auto,15,0.15,14,Married,High School,Approved
55,128640,850,143708,Home,36,0.18,12,Married,Master,Approved
24,36307,734,107491,Personal,4,0.31,8,Divorced,High School,Rejected
63,86397,725,41108,Personal,40,0.59,8,Divorced,High School,Rejected
30,50256,850,20941,Auto,8,0.26,8,Single,Bachelor,Approved
57,92135,823,77836,Auto,36,0.26,9,Married,High School,Approved
59,99874,781,92719,Education,40,0.41,1,Married,Bachelor,Approved
26,70126,650,12444,Education,8,0.48,8,Single,Master,Approved
67,125463,850,96291,Home,40,0.05,2,Married,Master,Approved
44,60906,713,93598,Personal,25,0.51,4,Married,High School,Rejected
19,40439,799,71036,Business,0,0.25,1,Single,High School,Approved
22,61322,796,9554,Business,1,0.33,12,Married,Master,Approved
46,80918,701,30545,Personal,24,0.56,6,Married,Master,Rejected
54,90799,804,135745,Home,35,0.32,10,Single,Bachelor,Rejected
55,112081,751,66971,Education,36,0.12,1,Married,Bachelor,Approved
36,43129,703,51059,Education,15,0.13,12,Single,High School,Rejected
25,79440,788,142843,Education,7,0.35,5,Married,Master,Rejected
65,106216,682,74468,Business,40,0.3,9,Single,Bachelor,Approved
62,88282,801,31055,Business,40,0.36,1,Divorced,High School,Approved
18,55125,731,8567,Home,0,0.29,9,Married,High School,Approved
39,77157,759,31627,Business,20,0.54,4,Single,Master,Approved
69,82598,795,84944,Auto,40,0.35,3,Married,High School,Rejected
34,50765,850,100368,Business,14,0.09,8,Married,High School,Approved
24,76657,684,45785,Education,5,0.47,6,Married,Bachelor,Approved
42,59788,729,29204,Home,20,0.64,7,Married,High School,Rejected
62,92742,706,21643,Personal,40,0.37,9,Married,High School,Approved
21,58141,600,75561,Personal,1,0.38,5,Single,Master,Rejected
53,113086,808,42126,Home,33,0.23,13,Single,Master,Approved
23,64761,670,63126,Auto,5,0.31,2,Married,Master,Approved
48,105953,741,87424,Personal,26,0.43,3,Married,Master,Approved
36,75241,677,129453,Education,15,0.52,3,Single,Bachelor,Rejected
61,117658,796,50258,Personal,40,0.42,4,Married,Master,Approved
71,78745,666,39527,Personal,40,0.62,10,Single,High School,Rejected
56,102935,795,28898,Education,38,0.36,7,Married,Bachelor,Approved
44,128021,850,8794,Business,26,0.18,12,Single,PhD,Approved
27,33733,774,148404,Auto,8,0.19,10,Single,High School,Approved
43,64839,727,14593,Education,21,0.54,6,Divorced,High School,Approved
36,55442,654,63132,Education,15,0.5,3,Single,Bachelor,Rejected
56,75101,833,125973,Home,37,0.1,14,Married,High School,Approved
20,46003,667,106633,Auto,2,0.32,7,Single,High School,Rejected
62,126915,850,16036,Business,40,0.32,4,Married,Master,Approved
30,96489,835,99097,Education,12,0.24,10,Divorced,PhD,Approved
67,81782,850,58164,Business,40,0.14,11,Single,Bachelor,Approved
45,58971,850,63413,Education,23,0.23,11,Married,High School,Approved
37,63068,760,23059,Education,18,0.21,8,Married,High School,Approved
45,81509,748,32188,Home,24,0.14,7,Married,Master,Approved
25,50461,673,103591,Personal,6,0.47,7,Married,Bachelor,Rejected
58,94666,793,86795,Auto,38,0.39,9,Divorced,High School,Approved
56,86888,785,16829,Home,38,0.28,8,Single,Bachelor,Approved
18,20000,700,78673,Business,0,0.05,12,Single,High School,Rejected
20,33061,775,29502,Education,2,0.31,1,Divorced,Bachelor,Rejected
30,79844,636,6265,Education,11,0.43,7,Married,Master,Approved
45,78430,774,52457,Auto,26,0.24,3,Single,Bachelor,Approved
74,113780,850,51875,Home,40,0.18,12,Married,Bachelor,Approved
66,91210,801,65359,Home,40,0.33,4,Married,High School,Approved
42,93805,796,111334,Business,20,0.4,6,Married,Bachelor,Rejected
73,92625,850,127950,Home,40,0.05,5,Single,Bachelor,Approved
50,79817,658,69102,Home,31,0.55,8,Married,High School,Approved
55,92547,850,106827,Personal,37,0.16,2,Single,Bachelor,Approved
70,96002,815,97688,Auto,40,0.29,5,Married,High School,Approved
23,67199,602,64469,Home,4,0.53,5,Married,Master,Approved
61,95068,698,100789,Business,40,0.37,3,Married,Bachelor,Rejected
62,133428,757,18176,Education,40,0.51,14,Single,PhD,Approved
49,71230,805,70036,Home,27,0.58,10,Single,High School,Rejected
62,99006,799,12907,Home,40,0.13,13,Married,Bachelor,Approved
64,112271,702,8372,Education,40,0.49,5,Married,Bachelor,Approved
38,61689,712,29592,Personal,18,0.55,4,Single,Bachelor,Approved
33,71910,695,149174,Auto,14,0.29,11,Married,High School,Rejected
71,114536,850,113093,Personal,40,0.31,5,Single,Bachelor,Approved
38,75487,794,8139,Business,18,0.06,10,Single,Bachelor,Approved
28,73453,676,82179,Home,10,0.47,9,Single,High School,Rejected
54,74907,825,23643,Personal,32,0.05,7,Single,High School,Rejected
53,99113,777,109425,Auto,32,0.5,1,Single,Bachelor,Rejected
52,96726,850,65117,Business,33,0.14,3,Married,Bachelor,Approved
36,60474,651,111485,Personal,15,0.56,9,Divorced,High School,Rejected
37,68961,775,118607,Home,16,0.41,4,Married,High School,Rejected
74,95489,695,65332,Auto,40,0.5,4,Single,High School,Approved
35,76417,832,35632,Home,14,0.23,10,Single,Bachelor,Approved
64,99496,850,92157,Home,40,0.15,6,Single,Bachelor,Approved
58,114938,850,41843,Business,38,0.09,3,Single,Master,Approved
66,151382,751,43930,Auto,40,0.51,3,Married,PhD,Approved
31,70468,660,110940,Education,13,0.45,9,Married,Bachelor,Rejected
32,51983,711,63103,Home,13,0.45,13,Single,High School,Rejected
48,62967,738,45770,Auto,27,0.39,5,Single,High School,Approved
18,39665,675,116757,Home,0,0.43,14,Single,High School,Rejected
70,112185,823,35158,Personal,40,0.31,7,Single,Master,Approved
71,94238,781,93992,Personal,40,0.41,5,Married,Bachelor,Approved
71,91149,850,52401,Auto,40,0.22,6,Single,High School,Approved
20,20000,776,149064,Business,0,0.3,8,Married,High School,Rejected
33,69110,604,50858,Education,12,0.81,8,Married,Bachelor,Rejected
40,81769,774,143143,Personal,22,0.36,2,Divorced,Bachelor,Rejected
74,86471,850,89811,Business,40,0.05,11,Divorced,High School,Approved
28,82878,728,134970,Education,7,0.29,9,Married,PhD,Rejected
29,57306,786,11586,Personal,9,0.19,10,Single,Bachelor,Approved
27,31108,676,24703,Education,6,0.37,12,Married,High School,Approved
